,Town,Unnamed: 0,Municipality,Number of Taxpayers,Total Retail Sales of Goods,Total Tax Due(Excluding Tax at 9.35% Rate) ,Tax Due At 6%,Tax Due At 6.35%,Tax Due at 7%
106,Orange,106,ORANGE (107),706,565950978.0,49702222.0,23076271.0,26604521.0,21431.0
107,Oxford,107,OXFORD (108),561,156333943.0,3387074.0,1619903.0,1766803.0,367.0
108,Plainfield,108,PLAINFIELD (109),454,217763982.0,5497323.0,2838700.0,2658621.0,1.0
109,Plainville,109,PLAINVILLE (110),778,418006092.0,14904780.0,7037242.0,7833122.0,34416.0
110,Plymouth,110,PLYMOUTH (111),395,119338743.0,3003102.0,1436149.0,1549436.0,17517.0
111,Pomfret,111,POMFRET (112),205,76748527.0,818115.0,377088.0,441027.0,0.0
112,Portland,112,PORTLAND (113),409,149711885.0,3639029.0,1748086.0,1827463.0,63481.0
113,Preston,113,PRESTON (114),183,32026256.0,986693.0,485156.0,501537.0,0.0
114,Prospect,114,PROSPECT (115),377,83450508.0,2498683.0,1169198.0,1329457.0,28.0
115,Putnam,115,PUTNAM (116),396,211585798.0,6238378.0,2963648.0,3243207.0,31522.0
116,Redding,116,REDDING (117),467,49642861.0,1682317.0,774390.0,907563.0,364.0
117,Ridgefield,117,RIDGEFIELD (118),1050,446089329.0,17468247.0,8321119.0,8826837.0,320290.0
118,Rocky,118,ROCKY HILL (119),766,657371503.0,12865311.0,6124932.0,6740083.0,296.0
119,Roxbury,119,ROXBURY (120),162,8051484.0,358902.0,168008.0,190894.0,0.0
120,Salem,120,SALEM (121),153,14396698.0,684575.0,329002.0,355562.0,11.0
121,Salisbury,121,SALISBURY (122),240,43247359.0,2073292.0,923592.0,1148752.0,948.0
122,Scotland,122,SCOTLAND (123),52,4108286.0,55166.0,22947.0,32219.0,0.0
123,Seymour,123,SEYMOUR (124),531,423359432.0,5045197.0,2354985.0,2690212.0,0.0
124,Sharon,124,SHARON (125),181,70617085.0,929984.0,426809.0,503163.0,13.0
